start,end,total SNPs,total Bases,depth,unique SNPs,dhSNPs,reference Bases,Theta,Pi,Heterozygosity,%GC,Recombination,Divergence,Constraint,SNPs
130001,131000,9,8558,8.56,3,1,1000,9.321,8.901,10.516,33.5335,0.000902977,0.01301301,0,0
131001,132000,8,10230,10.23,5,3,1000,17.317,13.291,7.82,31.8318,0.000693301,0.01101101,0,2
132001,133000,26,7849,7.85,11,3,1000,38.903,33.178,33.206,36.036,0.000761725,0.01501502,0,1
133001,134000,33,7537,7.54,13,9,1000,48.004,48.149,43.786,39.8398,0.00223119,0.01401401,113,2
134001,135000,25,9307,9.31,8,4,1000,27.052,23.391,27.295,39.4394,0.000922671,0.005005005,391,3
135001,136000,31,8893,8.89,12,6,1000,45.036,44.258,34.719,37.9379,0.000296722,0.02102102,0,2
136001,137000,15,5464,5.46,11,4,1000,50.364,43.518,27.452,38.1381,0.000290599,0.01901902,0,0
137001,138000,17,3248,3.29,5,0,986,25.373,22.486,50.8,38.2382,0.000290599,0.03526448,0,0
138001,139000,15,4029,4.28,7,0,941,35.913,28.365,38.161,39.3393,0.000290599,0.02197802,0,0
139001,140000,37,9314,9.31,8,7,1000,28.674,34.866,40.129,31.2312,0.000290599,0.01501502,0,0
140001,141000,26,8013,8.01,6,2,1000,23.243,19.038,32.446,40.5405,0.000290599,0.01301301,0,0
141001,142000,10,7647,7.65,4,2,1000,14.838,16.625,12.751,28.1281,0.000281073,0.01601602,0,1
142001,143000,12,9896,9.9,5,3,1000,18.123,18.322,12.126,38.3383,9.64E-05,0.01501502,0,0
143001,144000,19,8675,8.68,3,0,1000,11.031,6.212,22.298,36.3363,9.64E-05,0.009009009,0,0
144001,145000,13,8313,8.31,2,2,1000,7.084,7.976,15.789,45.8458,9.64E-05,0.01201201,0,0
145001,146000,0,3858,3.86,0,0,1000,0,0,0,35.6356,9.64E-05,0.007007007,0,0
146001,147000,11,9196,9.2,5,1,1000,17.797,13.379,11.962,34.3343,9.64E-05,0.01101101,0,0
147001,148000,18,6396,6.4,5,4,1000,18.921,23.23,27.362,45.6456,9.64E-05,0.01937984,0,0
148001,149000,19,6989,6.99,6,3,1000,23.722,24.826,26.471,44.8448,9.64E-05,0.01595298,0,0
149001,150000,6,3649,3.65,5,1,1000,24.837,22.808,16.444,48.4484,9.64E-05,0.01595298,0,0
150001,151000,5,4039,4.04,2,1,1000,8.054,9.243,12.379,45.045,9.64E-05,0.01595298,0,0
151001,152000,11,1804,2.03,8,2,888,59.276,65.287,60.976,46.9469,9.64E-05,0.01595298,0,0
152001,153000,6,1589,1.65,4,0,964,32.049,33.275,34.624,45.5455,9.64E-05,0.01595298,0,0
153001,154000,10,4385,4.38,6,2,1000,29.583,27.398,22.236,44.4444,9.64E-05,0.01595298,0,0
154001,155000,6,3694,3.69,5,0,1000,21.918,21.2,14.888,45.2452,9.64E-05,0.01595298,0,0
155001,156000,13,5268,5.27,4,2,1000,15.661,16.22,23.728,37.6376,9.64E-05,0.01595298,0,0
156001,157000,11,8235,8.23,3,3,1000,11.584,14.298,12.75,31.2312,9.64E-05,0.01595298,0,0
157001,158000,10,6038,6.04,5,1,1000,20.181,17.643,15.733,31.3313,9.82E-05,0.01595298,0,1
158001,159000,0,8169,8.17,0,0,1000,0,0,0,34.1341,0.000101994,0.01595298,0,0
159001,160000,13,9497,9.5,5,2,1000,18.795,17.606,13.556,34.2342,0.000101994,0.01595298,0,0
160001,161000,8,7358,7.36,4,1,1000,16.304,13.189,10.533,34.034,0.000101994,0.01595298,0,0
161001,162000,20,9784,9.78,6,3,1000,20.265,20.817,20.761,37.2372,0.000101994,0.01595298,0,0
162001,163000,18,7658,7.66,4,0,1000,14.813,9.211,23.341,35.7357,0.000101994,0.01595298,0,0
163001,164000,27,8850,8.85,7,3,1000,25.698,24.063,30.934,40.3403,0.000189653,0.01595298,233,2
164001,165000,20,9465,9.47,3,2,1000,11.911,15.007,20.733,41.041,0.000321967,0.01595298,0,0
165001,166000,12,8161,8.16,6,2,1000,22.262,18.704,14.705,41.8418,0.001042602,0.01595298,49,2
166001,167000,11,6200,6.2,5,3,1000,21.127,23.159,17.741,44.2442,0.001765908,0.01595298,0,1
167001,168000,12,6723,6.78,4,2,992,16.23,16.11,17.849,42.4424,0.001658181,0.01595298,0,0
168001,169000,10,6793,6.79,6,1,1000,23.579,17.156,15.089,45.2452,0.001658181,0.01595298,0,0
169001,170000,7,7366,7.37,5,1,1000,19.348,15,9.843,46.1461,0.001658181,0.01595298,0,0
170001,171000,9,7301,7.3,5,1,1000,19.487,14.992,12.97,39.1391,0.001658181,0.01595298,0,0
171001,172000,4,7635,7.63,4,0,1000,15.423,9.312,5.239,40.04,0.001658181,0.01595298,0,0
172001,173000,14,10034,10.03,7,2,1000,25.3,17.363,13.953,36.1361,0.001658181,0.01595298,0,0
173001,174000,16,6983,6.98,6,6,1000,24.279,29.278,22.912,40.1401,0.001658181,0.01595298,0,0
174001,175000,7,4741,4.74,3,2,1000,13.28,14.695,13.711,43.3433,0.001658181,0.01595298,0,0
175001,176000,2,7500,7.5,1,0,1000,4.496,3.448,2,49.049,0.001658181,0.01595298,0,0
176001,177000,16,12040,12.04,6,3,1000,21.594,19.378,13.289,50.5506,0.001658181,0.01595298,0,0
177001,178000,9,8357,8.36,4,2,1000,14.069,14.849,10.172,43.4434,0.001658181,0.01595298,0,0
178001,179000,9,10066,10.07,4,2,1000,13.418,12.303,8.445,39.8398,0.001658181,0.01595298,0,0
179001,180000,17,10233,10.23,8,4,1000,27.173,23.87,16.369,38.5385,0.001658181,0.01595298,0,0
180001,181000,6,8863,8.86,2,1,1000,7.87,8.535,6.205,36.4364,0.001655765,0.01595298,0,1
181001,182000,3,10335,10.33,1,1,1000,2.426,3.483,2.903,35.4354,0.001625565,0.01595298,0,0
182001,183000,1,6627,6.63,1,0,1000,3.783,2.616,1.509,34.9349,0.001625565,0.009592326,0,0
183001,184000,15,8575,8.57,4,3,1000,16.111,21.177,16.91,31.3313,0.001625565,0.02402402,0,0
184001,185000,2,7674,7.67,2,0,1000,7.494,4.617,2.606,34.9349,0.001625565,0.01001001,0,0
185001,186000,0,10188,10.19,0,0,1000,0,0,0,37.4374,0.001625565,0.007007007,0,0
186001,187000,7,8339,8.34,4,2,1000,13.035,12.352,8.394,43.7437,0.001625565,0.01201201,0,0
187001,188000,8,6749,6.75,5,1,1000,17.805,17.008,11.853,40.7407,0.001625879,0.01601602,0,1
188001,189000,14,7217,7.22,6,4,1000,24.976,26.642,19.398,43.1431,0.001625902,0.02502503,0,0
189001,190000,4,7573,7.57,4,0,1000,11.351,8.798,5.282,41.2412,0.001625902,0.008547009,0,0
190001,191000,23,10706,10.71,9,7,1000,30.889,32.558,21.483,42.6426,0.001625902,0.01601602,0,0
191001,192000,3,8366,8.37,1,1,1000,2.683,3.862,3.586,39.5395,0.001625902,0.01001001,0,0
192001,193000,3,9573,9.57,3,0,1000,11.353,5.738,3.134,39.6396,0.001625816,0.01801802,0,1
193001,194000,10,8799,8.8,3,2,1000,9.382,10.035,10.797,35.3353,0.0016258,0.01501502,0,0
194001,195000,1,7435,7.44,1,0,1000,3.711,2.373,1.345,44.1441,0.0016258,0.01101101,0,0
195001,196000,6,6992,6.99,3,1,1000,12.924,12.153,8.582,41.7417,0.0016258,0.009009009,0,0
196001,197000,4,9469,9.8,4,0,966,14.74,7.662,4.224,36.036,0.0016258,0.005005005,0,0
197001,198000,2,5946,5.95,2,0,1000,10.276,5.996,3.364,36.9369,0.0016258,0.01001001,0,0
198001,199000,5,8174,8.17,4,1,1000,12.367,10.147,6.117,33.6336,0.0016258,0.007007007,0,0
199001,200000,5,8526,8.53,2,1,1000,6.877,7.252,5.791,34.8348,0.0016258,0.01001001,0,0
200001,201000,0,8173,8.17,0,0,1000,0,0,0,31.5315,0.0016258,0.004004004,0,0
201001,202000,14,7756,7.76,4,1,1000,15.337,11.572,18.211,37.1371,0.003112092,0.01301301,0,1
202001,203000,7,9581,9.58,3,2,1000,9.749,10.447,7.306,46.6466,0.004108753,0.01201201,63,0
203001,204000,7,8423,8.42,5,1,1000,15.285,12.245,7.717,42.1421,0.003402948,0.01101101,0,1
204001,205000,3,10052,10.05,2,1,1000,6.215,4.942,2.984,36.7367,0.001873269,0.006006006,82,1
205001,206000,10,9601,9.6,6,3,1000,22.209,16.94,10.415,42.042,0.001905362,0.005005005,526,3
206001,207000,12,9294,9.29,5,3,1000,18.038,18.592,12.912,36.8368,0.001912636,0.009009009,0,1
207001,208000,21,10944,10.94,6,4,1000,20.026,24.454,19.417,38.6386,0.001907684,0.01901902,0,0
208001,209000,8,12590,12.59,2,2,1000,7.35,9.479,6.354,43.1431,0.001848695,0.01401401,0,1
209001,210000,4,7232,7.23,1,1,1000,3.466,5.162,5.531,46.9469,0.001784141,0.01101101,0,0
210001,211000,3,7807,7.81,2,1,1000,7.758,5.781,3.843,43.4434,0.001784141,0.01701702,0,0
211001,212000,18,9197,9.2,6,2,1000,23.295,17.05,19.708,39.9399,0.001776336,0.0212528,0,1
212001,213000,26,6793,6.79,9,3,1000,36.351,31.324,38.275,47.3473,0.001742884,0.01201201,0,0
213001,214000,4,10850,10.85,2,1,1000,6.562,5.296,3.226,39.2392,0.00167018,0.01101101,0,1
214001,215000,11,7329,7.33,6,2,1000,23.535,20.056,15.008,45.5455,0.001152569,0.01401401,0,3
215001,216000,32,7706,7.71,13,7,1000,52.04,54.715,41.526,41.7417,0.001079136,0.01501502,0,0
216001,217000,17,8388,8.39,8,4,1000,27.139,25.156,19.97,33.8338,0.000956999,0.01401401,0,1
217001,218000,20,9155,9.15,8,4,1000,29.994,29.193,21.709,36.5365,0.000900068,0.004004004,0,3
218001,219000,21,10048,10.05,11,5,1000,39.27,30.805,20.401,33.7337,0.00089975,0.008008008,0,0
219001,220000,8,5247,5.25,3,2,1000,15.054,17.46,15.246,37.1371,0.00089904,0.005005005,0,1
220001,221000,16,8170,8.17,8,4,1000,29.94,28.049,19.584,37.037,0.000877161,0.006006006,0,1
221001,222000,24,6762,6.76,9,5,1000,34.739,34.747,35.306,35.4354,0.000868737,0.01201201,0,0
222001,223000,16,7283,7.28,5,3,1000,19.628,22.819,21.625,39.4394,0.000868737,0.009009009,0,0
223001,224000,14,7049,7.08,6,4,996,25.404,25.408,19.86,29.5295,0.00086878,0.01601602,0,1
224001,225000,29,7689,7.69,10,5,1000,39.328,35.757,38.04,47.4474,0.000868839,0.01501502,0,0
225001,226000,22,6477,6.48,7,5,1000,25.119,27.498,33.966,40.04,0.000868839,0.02040816,0,0
226001,227000,18,5185,5.18,7,1,1000,29.143,26.634,33.751,37.8378,0.000868839,0.05714286,0,0
227001,228000,8,3013,3.18,4,1,947,25.358,26.182,26.341,42.7427,0.000868839,0.01401401,0,0
228001,229000,12,4140,4.14,3,2,1000,18.145,22.087,27.78,42.7427,0.000868839,0.007874016,0,0
229001,230000,8,2281,2.35,8,1,972,49.33,47.614,35.068,46.5465,0.000868839,0.01698514,0,0
230001,231000,10,3653,3.68,4,0,992,18.316,15.919,28.059,46.3463,0.000868839,0.01698514,0,0
231001,232000,47,6599,6.6,9,7,1000,37.586,46.058,70.465,31.2312,0.000867113,0.03244275,0,2
232001,233000,52,8186,8.19,8,3,1000,28.078,22.11,63.832,33.7337,0.000829572,0.008519702,0,2
233001,234000,20,5939,5.94,5,4,1000,18.456,23.751,33.044,47.3473,0.001213941,0.009009009,101,2
234001,235000,17,6028,6.03,4,4,1000,17.025,24.507,27.787,47.7477,0.002219598,0.02121212,283,2
235001,236000,16,8044,8.04,3,2,1000,11.833,10.097,19.813,45.2452,0.002750383,0.0120919,999,1
236001,237000,23,8724,8.72,5,3,1000,19.351,23.038,26.47,32.3323,0.009027616,0.01801802,734,2
237001,238000,14,6090,6.09,8,1,1000,29.293,22.693,22.99,42.7427,0.0124246,0.01301301,0,0
238001,239000,15,10088,10.09,7,2,1000,22.943,22.615,14.374,40.1401,0.0124246,0.02002002,0,0
239001,240000,22,7151,7.15,8,4,1000,30.094,28.628,30.766,56.1562,0.0124246,0.01501502,0,0
240001,241000,9,8469,8.47,9,0,1000,29.147,18.495,10.627,38.2382,0.0124246,0.01101101,0,0
241001,242000,5,6247,6.25,3,1,1000,12.091,11.672,8.004,43.7437,0.01242483,0.008008008,0,1
242001,243000,1,6965,6.97,1,0,1000,2.829,2.349,1.436,53.5536,0.01242483,0.05105105,0,0
243001,244000,9,7126,7.13,5,3,1000,18.428,18.101,12.454,48.6486,0.01194791,0.01901902,0,1
244001,245000,5,8511,8.51,5,1,1000,17.631,10.463,5.875,49.6496,0.005986378,0.01601602,0,0
245001,246000,8,8893,8.89,4,2,1000,15.148,13.762,8.996,47.3473,0.00598639,0.02202202,0,1
246001,247000,2,4772,4.77,1,1,1000,4.588,5.588,4.191,54.0541,0.006038076,0.01201201,404,1
247001,248000,8,7676,7.68,4,3,1000,14.654,14.45,9.771,39.9399,0.006394899,0.01101101,0,1
248001,249000,0,6207,6.21,0,0,1000,0,0,0,49.2492,0.006455122,0.01601602,0,0
249001,250000,18,4079,4.27,6,2,955,33.172,30.143,42.9,50.0501,0.006455122,0.02202202,0,0
250001,251000,5,4945,4.94,3,1,1000,11.865,13.573,10.112,48.8488,0.006435365,0.02002002,0,1
251001,252000,17,5175,5.18,8,4,1000,36.271,39.508,32.366,53.3534,0.003980431,0.01901902,392,5
252001,253000,26,6604,6.6,7,3,1000,30.419,25.658,38.99,53.5536,0.002835929,0.01201201,919,1
253001,254000,25,6621,6.62,10,7,1000,39.23,41.928,38.137,54.4545,0.003043007,0.01201201,53,2
254001,255000,12,4103,5.05,5,3,813,22.987,29.201,29.246,63.6637,0.003412594,0.03300733,228,2
255001,256000,8,5270,5.27,5,1,1000,20.735,18.871,14.231,53.5536,0.002422104,0.02336449,0,0
256001,257000,8,7906,7.91,5,1,1000,20.132,16.057,10.12,45.6456,0.002422104,0.01588983,0,0
257001,258000,6,8224,8.22,4,1,1000,16.944,11.56,7.296,47.4474,0.002422104,0.01301301,0,0
258001,259000,27,8067,8.07,7,6,1000,26.898,32.587,32.849,38.7387,0.002422104,0.008008008,0,0
259001,260000,19,5795,5.8,11,4,1000,46.864,43.422,31.923,52.1522,0.00241744,0.01301301,397,1
260001,261000,14,5122,5.12,6,3,1000,31.365,32.881,27.332,48.9489,0.002384037,0.01401401,999,2
261001,262000,20,6793,6.79,6,4,1000,24.225,28.132,28.708,37.9379,0.002243284,0.01033058,151,0
262001,263000,21,10196,10.2,5,5,1000,19.06,24.613,20.963,43.4434,0.002243284,0.02170543,0,0
263001,264000,12,7251,7.25,8,3,1000,27.483,24.479,15.86,39.2392,0.002243284,0.05590062,0,0
264001,265000,13,8571,8.57,4,4,1000,14.2,18.709,14.584,45.6456,0.002225601,0.01201201,0,1
265001,266000,12,7542,7.54,3,3,1000,10.891,14.271,16.242,47.7477,0.002442362,0.008008008,219,1
266001,267000,6,7138,7.25,5,1,985,15.373,13.5,8.405,48.5485,0.002817406,0.01804124,84,0
267001,268000,11,4215,4.21,4,0,1000,16.339,14.11,26.694,44.2442,0.002817406,0.01349948,0,0
268001,269000,2,5699,5.7,1,1,1000,5.165,5.459,3.509,47.047,0.002817406,0.01358696,0,0
269001,270000,5,6917,6.92,3,1,1000,11.86,10.755,7.229,46.6466,0.002817406,0.01101101,0,0
270001,271000,3,5551,5.55,2,0,1000,7.297,6.906,4.503,44.4444,0.003656066,0.01503006,0,1
271001,272000,0,6585,6.58,0,0,1000,0,0,0,39.9399,0.00521118,0.01601602,0,0
272001,273000,12,7556,7.56,4,3,1000,17.035,20.778,15.219,47.1471,0.007203642,0.02488688,0,3
273001,274000,15,8042,8.04,4,2,1000,20.122,21.183,18.653,70.8709,0.01083032,0.01531213,782,0
274001,275000,7,5436,5.44,3,1,1000,12.48,11.611,12.878,52.8529,0.01083687,0.004004004,999,1
275001,276000,1,7027,7.03,1,0,1000,4.276,2.546,1.423,44.4444,0.01084298,0.006006006,959,0
276001,277000,0,9479,9.48,0,0,1000,0,0,0,51.3514,0.01084298,0.006079027,0,0
277001,278000,4,8671,8.67,2,1,1000,7.751,7.202,4.613,50.5506,0.01084298,0.01633394,0,0
278001,279000,14,11499,11.5,6,2,1000,20.347,16.769,12.175,46.046,0.010847,0.01201201,0,1
279001,280000,20,5212,5.21,8,4,1000,33.843,37.985,39.209,42.9429,0.01085161,0.01601602,0,0
280001,281000,13,5197,5.2,7,3,1000,29.212,29.308,25.017,51.952,0.01088856,0.01521739,0,1
281001,282000,42,7399,7.4,12,11,1000,42.122,56.451,56.766,50.5506,0.01090613,0.04630788,0,0
282001,283000,36,8074,8.07,12,8,1000,35.034,40.259,44.59,43.6436,0.01090613,0.02002002,0,0
283001,284000,22,9261,9.26,8,3,1000,28.238,24.206,23.757,45.8458,0.01092812,0.01601602,0,2
284001,285000,25,9334,9.33,4,1,1000,13.075,12.384,27.185,47.5475,0.01145113,0.02863436,0,2
285001,286000,24,8352,8.35,7,5,1000,26.509,28.744,28.513,49.1491,0.01146862,0.02444444,0,2
286001,287000,15,10633,10.63,7,3,1000,19.083,19.083,14.108,44.044,0.0114654,0.01342282,0,1
287001,288000,16,6816,6.82,4,2,1000,16.734,16.914,23.384,43.9439,0.01145296,0.01501502,0,0
288001,289000,1,5754,5.75,1,0,1000,5.529,3.128,1.738,43.4434,0.01145296,0.02083333,0,0
289001,290000,4,8388,8.39,2,1,1000,6.623,6.724,4.769,43.3433,0.01145296,0.00974026,0,0
290001,291000,14,6069,6.07,6,3,1000,25.914,27.552,22.657,46.9469,0.01145296,0.01943463,0,0
291001,292000,12,6370,6.37,5,2,1000,21.289,23.003,18.935,46.7467,0.01208614,0.01201201,0,1
292001,293000,1,11225,11.22,1,0,1000,3.642,1.655,0.891,44.5445,0.01221691,0.008008008,0,0
293001,294000,7,7552,7.55,4,1,1000,16.456,12.982,8.607,50.3504,0.01221691,0.02359551,0,0
294001,295000,14,7819,7.82,7,1,1000,26.427,17.77,17.745,47.2472,0.01221691,0.01601602,0,0
295001,296000,2,7681,7.68,2,0,1000,7.367,4.57,2.604,45.1451,0.01221691,0.01201201,0,0
296001,297000,4,7882,7.88,3,1,1000,10.85,8.322,5.075,46.9469,0.01221691,0.01701702,0,0
297001,298000,3,8780,8.78,3,0,1000,10.878,6.139,3.417,50.951,0.0119494,0.02402402,0,1
298001,299000,7,9304,9.3,6,0,1000,18.866,12.224,6.986,43.043,0.0116834,0.01001001,0,1
299001,300000,13,9365,9.37,11,1,1000,43.248,23.591,13.347,50.6507,0.005044164,0.009009009,0,1
300001,301000,2,8337,8.34,2,0,1000,6.859,4.221,2.399,62.3624,0.004586907,0.009009009,0,0
301001,302000,0,1762,1.96,0,0,899,0,0,0,75.8759,0.004586907,0.004376368,762,0
302001,303000,1,3498,3.71,1,0,942,7.168,4.956,2.859,72.0721,0.004586907,0.01001001,999,0
303001,304000,11,5717,5.72,6,5,1000,24.377,25.34,18.367,61.0611,0.004586907,0.01901902,999,0
304001,305000,5,8458,8.46,3,1,1000,12.696,9.687,5.912,50.5506,0.004586907,0.01001001,367,0
305001,306000,8,9365,9.36,4,3,1000,11.93,12.211,8.543,52.8529,0.002362714,0.01517067,0,2
306001,307000,12,9422,9.42,5,2,1000,18.445,16.094,12.604,52.2523,0.001003333,0.01518219,0,2
307001,308000,0,6841,6.84,0,0,1000,0,0,0,46.8468,0.000840527,0.01101101,0,0
308001,309000,5,4528,4.53,4,0,1000,19.201,16.467,10.491,48.5485,0.000840527,0.01401401,0,0
